Municipio,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,17/12/2019 00:00,33.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,18/12/2019 00:00,32.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,19/12/2019 00:00,32.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,20/12/2019 00:00,30.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,21/12/2019 00:00,32.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,22/12/2019 00:00,33.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,23/12/2019 00:00,33.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,24/12/2019 00:00,34
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,25/12/2019 00:00,33.7
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,26/12/2019 00:00,34
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,27/12/2019 00:00,31.1
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,28/12/2019 00:00,33
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,29/12/2019 00:00,34.1
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,30/12/2019 00:00,35
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,31/12/2019 00:00,32
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,01/01/2020 00:00,33.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,02/01/2020 00:00,34.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,03/01/2020 00:00,35.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,04/01/2020 00:00,34.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,05/01/2020 00:00,33.9
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,06/01/2020 00:00,33.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,07/01/2020 00:00,35.2
