city,housecode_complete,house,location,time,temp,rh,dewpt
Neiva,NE1-in,NE1,in,2019-09-12 20:00:00,33.72,34.81,16.06
Neiva,NE1-in,NE1,in,2019-09-13 0:00:00,31.93,42.44,17.60
Neiva,NE1-in,NE1,in,2019-09-13 4:00:00,30.30,46.02,17.41
Neiva,NE1-in,NE1,in,2019-09-13 8:00:00,29.85,49.64,18.20
Neiva,NE1-in,NE1,in,2019-09-13 12:00:00,32.54,40.43,17.38
Neiva,NE1-in,NE1,in,2019-09-13 16:00:00,33.37,36.16,16.36
Neiva,NE1-in,NE1,in,2019-09-13 20:00:00,31.04,43.92,17.34
Neiva,NE1-in,NE1,in,2019-09-14 0:00:00,29.89,48.77,17.96
Neiva,NE1-in,NE1,in,2019-09-14 4:00:00,27.40,60.70,19.16
Neiva,NE1-in,NE1,in,2019-09-14 8:00:00,26.90,62.65,19.19
Neiva,NE1-in,NE1,in,2019-09-14 12:00:00,29.24,52.40,18.52
Neiva,NE1-in,NE1,in,2019-09-14 16:00:00,31.20,44.78,17.79
Neiva,NE1-in,NE1,in,2019-09-14 20:00:00,29.61,50.85,18.37
Neiva,NE1-in,NE1,in,2019-09-15 0:00:00,28.60,52.20,17.86
Neiva,NE1-in,NE1,in,2019-09-15 4:00:00,27.93,53.08,17.50
Neiva,NE1-in,NE1,in,2019-09-15 8:00:00,28.21,52.58,17.62
Neiva,NE1-in,NE1,in,2019-09-15 12:00:00,32.90,36.15,15.94
Neiva,NE1-in,NE1,in,2019-09-15 16:00:00,34.88,31.37,15.43
Neiva,NE1-in,NE1,in,2019-09-15 20:00:00,31.95,40.01,16.68
Neiva,NE1-in,NE1,in,2019-09-16 0:00:00,29.85,44.30,16.40
Neiva,NE1-in,NE1,in,2019-09-16 4:00:00,29.02,46.74,16.50
Neiva,NE1-in,NE1,in,2019-09-16 8:00:00,28.55,48.49,16.65
Neiva,NE1-in,NE1,in,2019-09-16 12:00:00,33.50,32.99,15.03
Neiva,NE1-in,NE1,in,2019-09-16 16:00:00,33.64,34.62,15.91
Neiva,NE1-in,NE1,in,2019-09-16 20:00:00,31.51,41.73,16.95
Neiva,NE1-in,NE1,in,2019-09-17 0:00:00,29.58,46.91,17.06
Neiva,NE1-in,NE1,in,2019-09-17 4:00:00,27.49,51.62,16.66
Neiva,NE1-in,NE1,in,2019-09-17 8:00:00,27.07,54.70,17.19
Neiva,NE1-in,NE1,in,2019-09-17 12:00:00,32.17,39.66,16.74
Neiva,NE1-in,NE1,in,2019-09-17 16:00:00,33.05,38.74,17.16
Neiva,NE1-in,NE1,in,2019-09-17 20:00:00,30.07,52.80,19.40
Neiva,NE1-in,NE1,in,2019-09-18 0:00:00,28.14,53.32,17.77
Neiva,NE1-in,NE1,in,2019-09-18 4:00:00,26.78,57.25,17.64
Neiva,NE1-in,NE1,in,2019-09-18 8:00:00,27.11,60.94,18.95
Neiva,NE1-in,NE1,in,2019-09-18 12:00:00,30.46,52.30,19.61
Neiva,NE1-in,NE1,in,2019-09-18 16:00:00,29.72,61.17,21.46
Neiva,NE1-in,NE1,in,2019-09-18 20:00:00,28.46,64.98,21.26
Neiva,NE1-in,NE1,in,2019-09-19 0:00:00,27.39,66.16,20.54
Neiva,NE1-in,NE1,in,2019-09-19 4:00:00,25.99,74.15,21.06
Neiva,NE1-in,NE1,in,2019-09-19 8:00:00,25.62,78.52,21.63
Neiva,NE1-in,NE1,in,2019-09-19 12:00:00,28.42,64.46,21.09
Neiva,NE1-in,NE1,in,2019-09-19 16:00:00,29.97,62.16,21.96
Neiva,NE1-in,NE1,in,2019-09-19 20:00:00,28.38,64.66,21.10
Neiva,NE1-in,NE1,in,2019-09-20 0:00:00,27.61,68.60,21.34
Neiva,NE1-in,NE1,in,2019-09-20 4:00:00,27.07,68.61,20.82
Neiva,NE1-in,NE1,in,2019-09-20 8:00:00,26.03,79.08,22.14
Neiva,NE1-in,NE1,in,2019-09-20 12:00:00,25.63,74.42,20.77
Neiva,NE1-in,NE1,in,2019-09-20 16:00:00,24.76,78.30,20.75
Neiva,NE1-in,NE1,in,2019-09-20 20:00:00,24.12,80.95,20.67
